record_type,source_system,publisher,entity,title,summary,link,published_at,search_keyword,primary_hits,matched_tags,secondary_hits,language,region,title_kr,summary_kr,summary_source,collected_date,llm_keywords
news,google_rss,Bloomberg.com,Private Credit Industry,Private Credit Gets Cheaper in Europe as Redemptions Pressure US - Bloomberg.com,Private Credit Gets Cheaper in Europe as Redemptions Pressure US Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-30/private-credit-gets-cheaper-in-europe-as-redemptions-pressure-us,2026-07-30 10:33:37,private credit,private credit,Liquidity_Redemption,"redemption, redemptions",en,US,"유럽 민간 신용, 미국 환매 압박으로 비용 하락",유럽 민간 신용 금리가 하락했음. 이는 미국으로부터의 환매 압박 때문임.,title_only,2026-07-31,"민간 신용, 금리, 환매"
news,google_rss,Bloomberg.com,"Ares, Private Credit Industry",Ares $29 Billion Private Credit Fund Sees Uptick in Non-Accruals - Bloomberg.com,Ares $29 Billion Private Credit Fund Sees Uptick in Non-Accruals Bloomberg.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxOUkowQnhZY0RBRmlnYm0wWTVCZ09WQVFwQ3ZoME9DUUYwQmw4bC1MdW9VRk8xVEhLS3FsZ05PX21WZTVBRjZmZWZxU3dZUlM2TEwxQ0NVMzl3b3VYQktZQ1dOWnlVRnk2dk5HTEJLbVN3clFFd0hGam9IaU94YWFjM0NicE02M2l0Y2FhWWFsbFBKX3M1QUItSzNKaERnVFgxUTlMb2pQd21ZNGl0X3p3N2JxNWU?oc=5,2026-07-29 10:00:44,private credit,"private credit, private credit fund",Captial_Others,Ares,en,US,"Ares의 290억 달러 사모신용 펀드, 비발생 자산 증가세 보임",Ares의 290억 달러 규모 사모신용 펀드에서 비발생 자산이 증가했음.,title_only,2026-07-30,"Ares, 비발생 자산, 펀드"
news,google_rss,Bloomberg.com,"Ares, Private Credit Industry",Ares Bundles €3 Billion of Private Credit for Secondaries Sale - Bloomberg.com,Ares Bundles €3 Billion of Private Credit for Secondaries Sale Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-27/ares-bundles-3-billion-of-private-credit-for-secondaries-sale,2026-07-27 13:20:10,private credit,private credit,Captial_Others,Ares,en,US,"Ares, 30억 유로 규모 사모신용 펀드 세컨더리 판매 위해 통합",Ares는 30억 유로 규모의 사모신용 펀드를 세컨더리 판매를 위해 통합했음.,title_only,2026-07-28,"Ares, 세컨더리"
news,google_rss,Bloomberg.com,"Blackstone, Private Credit Industry",Blackstone Private Credit Fund Co-CEO Jonathan Bock Resigns - Bloomberg.com,Blackstone Private Credit Fund Co-CEO Jonathan Bock Resigns Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-24/blackstone-private-credit-fund-co-ceo-jonathan-bock-resigns?srnd=all,2026-07-24 21:06:33,private credit,"private credit, private credit fund",Captial_Blackstone,Blackstone,en,US,블랙스톤 프라이빗 크레딧 펀드 공동 CEO 조나단 복 사임,블랙스톤 프라이빗 크레딧 펀드의 공동 CEO인 조나단 복이 사임했음.,title_only,2026-07-25,"Blackstone, 사임"
news,google_rss,Reuters,Private Credit Industry,Private credit roundup: Insurers step up as liquidity pressures build - Reuters,Private credit roundup: Insurers step up as liquidity pressures build Reuters,https://www.reuters.com/legal/transactional/private-credit-roundup-insurers-step-up-liquidity-pressures-build-2026-07-24/,2026-07-24 17:55:28,private credit,private credit,Liquidity_Redemption,liquidity,en,US,"보험사, 유동성 압박 속 사모신용 시장 나선다",보험사들이 사모신용 시장에서 유동성 압박에 대응하기 위해 적극 나서고 있음.,title_only,2026-07-25,"보험사, 유동성"
news,google_rss,Reuters,"Blackstone, Private Credit Industry","Blackstone private credit fund withdrawal requests slowing, president says - Reuters","Blackstone private credit fund withdrawal requests slowing, president says Reuters",https://www.reuters.com/legal/transactional/blackstone-private-credit-fund-withdrawal-requests-slowing-president-says-2026-07-23/,2026-07-23 19:59:17,private credit funds,"private credit, private credit fund","Liquidity_Redemption, Captial_Blackstone","Blackstone, withdrawal, withdraw",en,US,블랙스톤 프라이빗 크레딧 펀드의 환매 요청이 둔화되고 있다고 사장 발언,블랙스톤 프라이빗 크레딧 펀드의 환매 요청이 둔화되고 있다고 사장이 밝혔음. 이는 긍정적인 신호임.,title_only,2026-07-25,"Blackstone, 환매, 유동성"
news,google_rss,Bloomberg.com,Private Credit Industry,Private Credit Ditches ‘Semi-Liquid’ Term After Redemption Wave - Bloomberg.com,Private Credit Ditches ‘Semi-Liquid’ Term After Redemption Wave Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-23/private-credit-ditches-semi-liquid-term-after-redemption-wave,2026-07-23 15:00:05,private credit,private credit,Liquidity_Redemption,redemption,en,US,"사모신용, 환매 물결 후 '반유동성' 용어 폐기",사모신용 업계가 환매 급증에 따라 '반유동성'이라는 용어를 사용하지 않기로 했음.,title_only,2026-07-25,"환매, 유동성"
news,google_rss,Bloomberg.com,"Apollo, Private Credit Industry",Apollo Likens Risky Private Credit to Mere ‘Sprinkle’ on Cupcake - Bloomberg.com,Apollo Likens Risky Private Credit to Mere ‘Sprinkle’ on Cupcake Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-17/apollo-likens-risky-private-credit-to-mere-sprinkle-on-cupcake?srnd=all,2026-07-17 17:27:23,private credit,private credit,Captial_Others,Apollo,en,US,"Apollo, 위험한 사모신용을 컵케이크 위의 '살짝 뿌린 장식'에 비유함",Apollo는 위험한 사모신용 시장을 컵케이크 위의 살짝 뿌린 장식에 불과하다고 평가했음.,title_only,2026-07-18,Apollo
news,google_rss,Reuters,Private Credit Industry,Private credit roundup - Discounts show the cost of getting out - Reuters,Private credit roundup - Discounts show the cost of getting out Reuters,https://www.reuters.com/legal/transactional/private-credit-roundup-discounts-show-cost-getting-out-2026-07-17/,2026-07-17 15:30:13,private credit,private credit,Credit_Risk,"discount, discounts",en,US,사모신용 시장 동향: 할인율이 환매 비용을 보여줌,사모신용 펀드들이 환매에 어려움을 겪으며 할인율이 상승했음. 이는 투자자들이 펀드에서 빠져나갈 때 발생하는 비용을 반영함.,title_only,2026-07-18,"할인율, 환매"
news,google_rss,Bloomberg.com,"Apollo, Private Credit Industry",Apollo Bets on Mexico With $20 Billion Target for Private Credit - Bloomberg.com,Apollo Bets on Mexico With $20 Billion Target for Private Credit Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-16/apollo-bets-on-mexico-with-20-billion-target-for-private-credit,2026-07-16 17:30:16,private credit,private credit,Captial_Others,Apollo,en,US,"아폴로, 멕시코 사모신용 시장에 200억 달러 목표 설정",아폴로가 멕시코 사모신용 시장을 겨냥해 200억 달러 투자를 목표로 하고 있음.,title_only,2026-07-17,"Apollo, 멕시코"
news,google_rss,Bloomberg.com,Private Credit Industry,Private Credit Fund Lists in Cape Town to Tackle $21 Billion Gap - Bloomberg.com,Private Credit Fund Lists in Cape Town to Tackle $21 Billion Gap Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-15/private-credit-fund-lists-in-cape-town-to-tackle-21-billion-gap,2026-07-15 05:00:00,private credit,"private credit, private credit fund",Liquidity_Redemption,cap,en,US,"사모신용펀드, 210억 달러 격차 해소를 위해 케이프타운 상장",케이프타운에서 사모신용펀드가 상장되어 210억 달러 격차 해소를 목표함.,title_only,2026-07-16,"케이프타운, 자금 조달"
news,google_rss,Reuters,Private Credit Industry,"Europe's financial stability watchdog examining private credit risks, adviser says - Reuters","Europe's financial stability watchdog examining private credit risks, adviser says Reuters",https://www.reuters.com/business/finance/europes-financial-stability-watchdog-examining-private-credit-risks-adviser-says-2026-07-09/,2026-07-09 15:16:51,private credit,private credit,Credit_Risk,credit risk,en,US,"유럽 금융 안정 감시 기관, 사모 신용 위험 조사 중",유럽 금융 안정 감시 기관이 사모 신용 위험을 조사 중임.,title_only,2026-07-10,"유럽, 금융 안정, 사모 신용"
news,google_rss,Reuters,Private Credit Industry,Private credit under stress — Emerging litigation risks - Reuters,Private credit under stress — Emerging litigation risks Reuters,https://www.reuters.com/legal/litigation/private-credit-under-stress-emerging-litigation-risks--pracin-2026-07-09/,2026-07-09 15:12:00,private credit,private credit,Credit_Risk,stress,en,US,"사모대출, 소송 위험 부각되며 압박받음","사모대출 시장에 스트레스가 가해지고 있으며, 특히 소송 위험이 부각되고 있음.",title_only,2026-07-10,소송 위험
news,google_rss,CNBC,Private Credit Industry,Private credit has shifted from distressed deals to creditworthy borrowers in India: Moody’s - CNBC,Private credit has shifted from distressed deals to creditworthy borrowers in India: Moody’s CNBC,https://www.cnbc.com/video/2026/07/08/private-credit-has-shifted-from-distressed-deals-to-creditworthy-borrowers-in-india-moodyas.html,2026-07-08 06:57:00,private credit,private credit,Credit_Risk,"distress, stress",en,US,"무디스: 인도 민간 신용 시장, 부실 딜에서 신용도 높은 차입자로 전환",인도 민간 신용 시장이 5년간 두 배 성장했음. 자산 규모는 250억 달러에 달하며 계속 확대될 전망임.,body,2026-07-09,"Moody's, 인도, 민간 신용"
news,google_rss,Bloomberg.com,Private Credit Industry,"Asia Pacific Private Credit Growth to Slow, Moody’s Ratings Says - Bloomberg.com","Asia Pacific Private Credit Growth to Slow, Moody’s Ratings Says Bloomberg.com",https://www.bloomberg.com/news/articles/2026-07-06/asia-pacific-private-credit-growth-to-slow-moody-s-ratings-says,2026-07-06 05:50:00,private credit,private credit,Credit_Risk,rating,en,US,"무디스, 아시아태평양 사모신용 성장 둔화 전망",무디스은 아시아태평양 지역 사모신용 시장의 성장세가 둔화될 것으로 평가했음.,title_only,2026-07-08,"아시아태평양, Moody's"
news,google_rss,Bloomberg.com,Private Credit Industry,Watch Redemption Tension in Private Credit - Bloomberg.com,Watch Redemption Tension in Private Credit Bloomberg.com,https://news.google.com/rss/articles/CBMilgFBVV95cUxQTzg5QV9vM0hBTkZLdWVwZmI4clhJUmw2LWtNc0hEcDI5QzZpZG4wTC1tYlRsRERIX1JNVmd4eVRycDhEQXhsMUdrUHlvaTBTelhkVlhKQUFpNHZwdmw4cWkweVNucnl3NXRhLUNndzZKQVNCbmZrUHpZSkt6SExJbDFURDZVUGxMcDVUMUtZWHpmZl9ucGc?oc=5,2026-07-03 00:00:00,private credit,private credit,Liquidity_Redemption,redemption,en,US,사모신용 시장의 환매 압력 주시,사모신용 시장의 환매 긴장감을 주시할 필요가 있음.,title_only,2026-07-04,"환매, 긴장감"
news,google_rss,CNBC,"Blue Owl, Private Credit Industry",Blue Owl caps redemption requests at 5% for two of its private credit funds - CNBC,Blue Owl caps redemption requests at 5% for two of its private credit funds CNBC,https://www.cnbc.com/video/2026/07/02/blue-owl-caps-redemption-requests-at-5-percent-for-two-of-its-private-credit-funds.html,2026-07-02 13:04:56,private credit,"private credit, private credit fund, private credit funds","Liquidity_Redemption, Captial_BlueOwl","Blue Owl, redemption, redemption request, redemption requests, cap",en,US,"Blue Owl, 두 사모대출 펀드 환매 요청 5%로 제한",Blue Owl은 두 개의 사모대출 펀드에 대해 환매 요청을 5%로 제한했음. 이는 유동성 관리를 위한 조치로 보임.,body,2026-07-03,"Blue Owl, 환매, 유동성"
news,google_rss,Reuters,Private Credit Industry,Goldman's private credit fund bucks elevated redemption trend again - Reuters,Goldman's private credit fund bucks elevated redemption trend again Reuters,https://www.reuters.com/legal/transactional/goldman-private-credit-fund-escapes-redemption-pressure-again-2026-07-01/,2026-07-01 17:42:34,private credit,"private credit, private credit fund",Liquidity_Redemption,redemption,en,US,"골드만 프라이빗 신용 펀드, 또다시 높아진 환매 추세 거슬러",골드만삭스의 프라이빗 신용 펀드는 높아진 환매 추세를 또다시 거슬렀음.,title_only,2026-07-02,"Goldman Sachs, 환매, 신용 펀드"
news,google_rss,Bloomberg.com,Private Credit Industry,BlackRock’s Head of Troubled Private Credit Fund to Exit After Losses - Bloomberg.com,BlackRock’s Head of Troubled Private Credit Fund to Exit After Losses Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-01/blackrock-s-tseng-to-exit-as-ceo-of-troubled-private-credit-fund,2026-07-01 17:29:57,private credit,"private credit, private credit fund",Credit_Risk,loss,en,US,"BlackRock의 부실 사모신용펀드 책임자, 손실 발생 후 사임",BlackRock의 부실 사모신용펀드 책임자가 손실 발생 후 사임을 결정했음. 이는 펀드 성과 부진에 따른 결과임.,title_only,2026-07-02,"BlackRock, 손실"
news,google_rss,Bloomberg.com,"Ares, Private Credit Industry",Ares Launches New Asia Private Credit Fund Targeting Buyouts - Bloomberg.com,Ares Launches New Asia Private Credit Fund Targeting Buyouts Bloomberg.com,https://www.bloomberg.com/news/articles/2026-06-29/ares-launches-new-asia-private-credit-fund-targeting-buyouts,2026-06-29 04:29:00,private credit,"private credit, private credit fund",Captial_Others,Ares,en,US,"Ares, 바이아웃 타겟 아시아 사모신용 펀드 출시",Ares가 바이아웃을 겨냥한 새로운 아시아 사모신용 펀드를 출시했음.,title_only,2026-06-30,"Ares, 펀드, 바이아웃"
news,google_rss,Bloomberg.com,Private Credit Industry,Private Credit Fund Stress Rises as PIK Loans Swell - Bloomberg.com,Private Credit Fund Stress Rises as PIK Loans Swell Bloomberg.com,https://www.bloomberg.com/news/newsletters/2026-06-26/credit-fund-stress-rises-as-pik-loans-swell,2026-06-26 11:23:49,private credit,"private credit, private credit fund",Credit_Risk,"PIK, stress",en,US,"사모신용펀드, PIK 대출 증가로 스트레스 고조",PIK 대출이 늘면서 사모신용펀드의 스트레스가 증가했음.,title_only,2026-06-27,"PIK 대출, 스트레스"
news,google_rss,Reuters,"Ares, Private Credit Industry",Ares caps withdrawals again at flagship $23 billion private credit fund - Reuters,Ares caps withdrawals again at flagship $23 billion private credit fund Reuters,https://www.reuters.com/business/finance/ares-caps-withdrawals-again-flagship-23-billion-private-credit-fund-2026-06-25/,2026-06-25 19:06:44,private credit,"private credit, private credit fund","Captial_Others, Liquidity_Redemption","Ares, cap, withdrawal, withdraw",en,US,"Ares, 230억 달러 규모 사모신용 펀드 환매 재차 제한",Ares는 230억 달러 규모의 대표적인 사모신용 펀드에 대한 환매를 다시 제한했음.,title_only,2026-06-27,"Ares, 환매, 유동성"
news,google_rss,Reuters,Private Credit Industry,Morgan Stanley restricts redemptions at private credit fund after withdrawals surge - Reuters,Morgan Stanley restricts redemptions at private credit fund after withdrawals surge Reuters,https://www.reuters.com/legal/transactional/morgan-stanley-restricts-redemptions-private-credit-fund-after-withdrawals-surge-2026-06-23/,2026-06-23 20:42:26,private credit,"private credit, private credit fund",Liquidity_Redemption,"redemption, redemptions, withdrawal, withdraw",en,US,"모건스탠리, 자금 인출 급증에 사모신용펀드 환매 제한",모건스탠리가 사모신용펀드에서 자금 인출이 급증하여 환매를 제한했음.,title_only,2026-06-24,"Morgan Stanley, 환매, 자금 인출"
news,google_rss,CNBC,Private Credit Industry,"Private credit is experiencing a period of differentiation, not distress: Oaktree - CNBC","Private credit is experiencing a period of differentiation, not distress: Oaktree CNBC",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBNX256YXhNZEYtcjVLUzZreHV6VkdHWUpKOXBvNFZwTHpfU0FkNGNzR3RnTE15cXRzTkJ2cmJleE5wRDU2bkw2QkZrd18tUXhWb0RGbnkzOTlKWktDa0QweElsNWVFa0VE?oc=5,2026-06-23 09:04:00,private credit,private credit,Credit_Risk,"distress, stress",en,US,"Oaktree, 사모신용 시장은 고통이 아닌 차별화 시기를 겪고 있다고 밝힘",Oaktree는 사모신용 시장이 고통이 아닌 차별화 시기를 겪고 있다고 분석했음. 이는 시장의 건전성을 보여주는 신호임.,title_only,2026-06-26,"Oaktree, 차별화"
news,google_rss,CNBC,"Apollo, Private Credit Industry","Apollo curbs withdrawals after exit requests hit 17%, reigniting fears over private credit liquidity - CNBC","Apollo curbs withdrawals after exit requests hit 17%, reigniting fears over private credit liquidity CNBC",https://www.cnbc.com/2026/06/23/apollo-private-credit-fund-withdrawals-redemptions.html,2026-06-23 07:58:17,private credit,private credit,"Captial_Others, Market_Sentiment, Liquidity_Redemption","Apollo, withdrawal, withdraw, liquidity, fear",en,US,"Apollo, 환매 요청 17% 도달 후 인출 제한...사모신용 유동성 우려 재점화",Apollo는 2분기 사모신용 펀드 환매 요청이 17%에 달하자 인출을 5%로 제한했음. 이는 투자자들의 자금 인출 러시에 따른 조치임.,body,2026-06-24,"Apollo, 환매, 유동성"
