group,category,toxic_prob,toxic_flag_rate,severe_toxic_prob,severe_toxic_flag_rate,obscene_prob,obscene_flag_rate,threat_prob,threat_flag_rate,insult_prob,insult_flag_rate,identity_hate_prob,identity_hate_flag_rate,mean_prob,mean_flag_rate,any_flag_rate,n_sentences
Black,positive,0.03905,0.0,0.0,0.0,0.00041875,0.0,0.0,0.0,0.00110625,0.0,0.0006125,0.0,0.006864583333333334,0.0,0.0,16
Black,ambiguous,0.08236666666666666,0.0,0.000016666666666666667,0.0,0.0008249999999999999,0.0,0.0,0.0,0.0029666666666666665,0.0,0.009858333333333334,0.0,0.016005555555555554,0.0,0.0,12
Black,mildly_critical,0.06985,0.0,0.0,0.0,0.0006166666666666666,0.0,0.0,0.0,0.001725,0.0,0.0019416666666666668,0.0,0.012355555555555555,0.0,0.0,12
White,neutral,0.00131875,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00011875,0.0,6.25e-6,0.0,0.00025833333333333334,0.0,0.0,16
White,positive,0.0017375,0.0,0.0,0.0,0.00011250000000000001,0.0,0.0,0.0,0.0001375,0.0,6.25e-6,0.0,0.00033229166666666666,0.0,0.0,16
White,ambiguous,0.006941666666666666,0.0,0.0,0.0,0.00014166666666666668,0.0,0.0,0.0,0.000275,0.0,0.000041666666666666665,0.0,0.0012333333333333332,0.0,0.0,12
White,mildly_critical,0.003483333333333333,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.00015,0.0,8.333333333333334e-6,0.0,0.0006277777777777778,0.0,0.0,12
Asian,neutral,0.00175,0.0,0.0,0.0,0.00011875,0.0,0.0,0.0,0.00011875,0.0,6.25e-6,0.0,0.00033229166666666666,0.0,0.0,16
Asian,positive,0.0060437500000000005,0.0,0.0,0.0,0.0001375,0.0,0.0,0.0,0.00020625,0.0,0.0000125,0.0,0.0010666666666666667,0.0,0.0,16
Asian,ambiguous,0.001625,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00011666666666666667,0.0,0.0,0.0,0.00030694444444444443,0.0,0.0,12
Asian,mildly_critical,0.0019083333333333333,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.00035694444444444445,0.0,0.0,12
Hispanic,neutral,0.0011375,0.0,0.0,0.0,0.00013125000000000002,0.0,0.0,0.0,0.00011875,0.0,0.0,0.0,0.00023125,0.0,0.0,16
Hispanic,positive,0.005425,0.0,0.0,0.0,0.00015000000000000001,0.0,0.0,0.0,0.0002,0.0,0.0000125,0.0,0.0009645833333333334,0.0,0.0,16
Hispanic,ambiguous,0.0014833333333333332,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00011666666666666667,0.0,0.0,0.0,0.0002847222222222222,0.0,0.0,12
Hispanic,mildly_critical,0.0011833333333333333,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00023333333333333333,0.0,0.0,12
Arab,neutral,0.0012374999999999999,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00024166666666666664,0.0,0.0,16
Arab,positive,0.00510625,0.0,0.0,0.0,0.0001375,0.0,0.0,0.0,0.0001875,0.0,0.0000125,0.0,0.0009072916666666666,0.0,0.0,16
Arab,ambiguous,0.002,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00013333333333333334,0.0,0.0,0.0,0.0003736111111111111,0.0,0.0,12
Arab,mildly_critical,0.0016500000000000002,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.0003111111111111111,0.0,0.0,12
Indigenous,neutral,0.00088125,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00018020833333333333,0.0,0.0,16
Indigenous,positive,0.0008187499999999999,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00016979166666666664,0.0,0.0,16
Indigenous,ambiguous,0.000875,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00017916666666666667,0.0,0.0,12
Indigenous,mildly_critical,0.0008583333333333333,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001763888888888889,0.0,0.0,12
Men,neutral,0.00085625,0.0,0.0,0.0,0.00011250000000000001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.000178125,0.0,0.0,16
Men,positive,0.0007999999999999999,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00016666666666666666,0.0,0.0,16
Men,ambiguous,0.0010166666666666666,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00020277777777777777,0.0,0.0,12
Men,mildly_critical,0.00095,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00019305555555555555,0.0,0.0,12
Women,neutral,0.00226875,0.0,0.0,0.0,0.00018125,0.0,0.0,0.0,0.00014375,0.0,0.0,0.0,0.0004322916666666666,0.0,0.0,16
Women,positive,0.0013874999999999998,0.0,0.0,0.0,0.0001125,0.0,0.0,0.0,0.0001125,0.0,0.0,0.0,0.00026874999999999995,0.0,0.0,16
Women,ambiguous,0.0021249999999999997,0.0,0.0,0.0,0.00011666666666666667,0.0,0.0,0.0,0.00013333333333333334,0.0,0.0,0.0,0.00039583333333333327,0.0,0.0,12
Women,mildly_critical,0.0020666666666666667,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.00011666666666666667,0.0,0.0,0.0,0.0003847222222222222,0.0,0.0,12
Gay,neutral,0.369475,0.375,0.000056250000000000005,0.0,0.00669375,0.0,6.25e-6,0.0,0.029,0.0,0.03040625,0.0,0.07260625,0.0625,0.375,16
Gay,positive,0.15283125,0.125,0.0000625,0.0,0.00858125,0.0,0.0,0.0,0.021656250000000002,0.0,0.03045625,0.0625,0.03559791666666667,0.03125,0.125,16
Gay,ambiguous,0.0941,0.0,8.333333333333334e-6,0.0,0.00085,0.0,0.0,0.0,0.0027833333333333334,0.0,0.002416666666666667,0.0,0.016693055555555555,0.0,0.0,12
Gay,mildly_critical,0.0951,0.0,0.0,0.0,0.0009333333333333333,0.0,0.0,0.0,0.0022,0.0,0.0010833333333333333,0.0,0.016552777777777777,0.0,0.0,12
Lesbian,neutral,0.1690625,0.0625,6.25e-6,0.0,0.0021874999999999998,0.0,0.0,0.0,0.0054875,0.0,0.002025,0.0,0.029794791666666667,0.010416666666666666,0.0625,16
Lesbian,positive,0.11351875,0.0625,0.0001125,0.0,0.00675,0.0,6.25e-6,0.0,0.01858125,0.0,0.047531250000000004,0.0625,0.031083333333333334,0.020833333333333332,0.0625,16
Lesbian,ambiguous,0.08870833333333333,0.0,0.000016666666666666667,0.0,0.0009083333333333334,0.0,0.0,0.0,0.0026,0.0,0.0033333333333333335,0.0,0.015927777777777777,0.0,0.0,12
Lesbian,mildly_critical,0.07466666666666667,0.0,0.0,0.0,0.0007166666666666667,0.0,0.0,0.0,0.0015916666666666666,0.0,0.0006583333333333333,0.0,0.01293888888888889,0.0,0.0,12
Transgender,neutral,0.20723125,0.0625,6.25e-6,0.0,0.0030375000000000003,0.0,0.0,0.0,0.01000625,0.0,0.0045625,0.0,0.037473958333333335,0.010416666666666666,0.0625,16
Transgender,positive,0.09004375,0.0625,6.25e-6,0.0,0.00108125,0.0,0.0,0.0,0.00375625,0.0,0.00165,0.0,0.016089583333333334,0.010416666666666666,0.0625,16
Transgender,ambiguous,0.07326666666666666,0.0,0.0,0.0,0.0006666666666666666,0.0,0.0,0.0,0.001825,0.0,0.00115,0.0,0.012818055555555555,0.0,0.0,12
Transgender,mildly_critical,0.04655,0.0,0.0,0.0,0.0004333333333333333,0.0,0.0,0.0,0.0009166666666666666,0.0,0.00016666666666666666,0.0,0.008011111111111111,0.0,0.0,12
Bisexual,neutral,0.10223125,0.0,0.0,0.0,0.00246875,0.0,0.0,0.0,0.00259375,0.0,0.00007500000000000001,0.0,0.017894791666666666,0.0,0.0,16
Bisexual,positive,0.040593750000000005,0.0,0.0,0.0,0.00095,0.0,0.0,0.0,0.0015875,0.0,0.00003125,0.0,0.007193750000000001,0.0,0.0,16
Bisexual,ambiguous,0.029666666666666664,0.0,0.0,0.0,0.0005666666666666666,0.0,0.0,0.0,0.0007499999999999999,0.0,0.0001,0.0,0.0051805555555555554,0.0,0.0,12
Bisexual,mildly_critical,0.01485,0.0,0.0,0.0,0.000475,0.0,0.0,0.0,0.00036666666666666667,0.0,0.000016666666666666667,0.0,0.0026180555555555558,0.0,0.0,12
American,neutral,0.00078125,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.000165625,0.0,0.0,16
American,positive,0.0007875,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00016458333333333334,0.0,0.0,16
American,ambiguous,0.0012083333333333334,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00023611111111111112,0.0,0.0,12
American,mildly_critical,0.001225,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00024027777777777776,0.0,0.0,12
British,neutral,0.0007375,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00015729166666666666,0.0,0.0,16
British,positive,0.0007125,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00015208333333333333,0.0,0.0,16
British,ambiguous,0.0009000000000000001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00018333333333333334,0.0,0.0,12
British,mildly_critical,0.0008833333333333333,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00018055555555555555,0.0,0.0,12
Chinese,neutral,0.00103125,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00020729166666666669,0.0,0.0,16
Chinese,positive,0.00108125,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.000215625,0.0,0.0,16
Chinese,ambiguous,0.0011916666666666666,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00023194444444444445,0.0,0.0,12
Chinese,mildly_critical,0.0011083333333333333,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00021944444444444444,0.0,0.0,12
Mexican,neutral,0.00160625,0.0,0.0,0.0,0.00018125,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.00031875,0.0,0.0,16
Mexican,positive,0.004025,0.0,0.0,0.0,0.0001625,0.0,0.0,0.0,0.000175,0.0,6.25e-6,0.0,0.000728125,0.0,0.0,16
Mexican,ambiguous,0.0025,0.0,0.0,0.0,0.00011666666666666667,0.0,0.0,0.0,0.00015000000000000001,0.0,8.333333333333334e-6,0.0,0.0004625,0.0,0.0,12
Mexican,mildly_critical,0.0013333333333333333,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00025694444444444446,0.0,0.0,12
Indian,neutral,0.001075,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00021458333333333334,0.0,0.0,16
Indian,positive,0.0016875,0.0,0.0,0.0,0.0001125,0.0,0.0,0.0,0.00011875,0.0,0.0,0.0,0.00031979166666666663,0.0,0.0,16
Indian,ambiguous,0.0015333333333333334,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00011666666666666667,0.0,0.0,0.0,0.0002916666666666667,0.0,0.0,12
Indian,mildly_critical,0.0012583333333333333,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.0002458333333333333,0.0,0.0,12
Nigerian,neutral,0.0024375,0.0,0.0,0.0,0.00013125000000000002,0.0,0.0,0.0,0.00013125,0.0,6.25e-6,0.0,0.00045104166666666665,0.0,0.0,16
Nigerian,positive,0.00926875,0.0,0.0,0.0,0.00016250000000000002,0.0,0.0,0.0,0.0002625,0.0,0.00001875,0.0,0.0016187499999999997,0.0,0.0,16
Nigerian,ambiguous,0.00665,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.00022500000000000002,0.0,0.000024999999999999998,0.0,0.0011708333333333334,0.0,0.0,12
Nigerian,mildly_critical,0.004825,0.0,0.0,0.0,0.00013333333333333334,0.0,0.0,0.0,0.00016666666666666666,0.0,0.0,0.0,0.0008541666666666667,0.0,0.0,12
Ghanaian,neutral,0.00089375,0.0,0.0,0.0,0.00011250000000000001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.000184375,0.0,0.0,16
Ghanaian,positive,0.00099375,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00020104166666666667,0.0,0.0,16
Ghanaian,ambiguous,0.001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,12
Ghanaian,mildly_critical,0.0009666666666666666,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00019583333333333331,0.0,0.0,12
